survey11,hhid11,vehid,Ownership,FuelCost,HomeParking,wf11,version
bsh,15520200,2,1,1,1,17.036036,1
bsh,15520210,1,1,1,2,17.036036,1
bsh,15520240,1,2,2,1,17.036036,1
bsh,15520240,2,1,1,2,17.036036,1
bsh,15520260,1,1,1,2,17.036036,1
bsh,15520280,1,1,1,2,17.036036,1
bsh,15520320,1,2,2,2,17.036036,1
bsh,15520320,2,1,1,1,17.036036,1
bsh,15520360,1,1,1,1,17.036036,1
bsh,15520380,1,1,1,2,17.036036,1
bsh,15520380,2,1,1,1,17.036036,1
bsh,15520400,1,1,1,1,17.036036,1
bsh,15520410,1,1,1,1,17.036036,1
bsh,15520420,1,1,1,1,17.036036,1
bsh,15520440,1,2,2,1,17.036036,1
bsh,15520460,1,2,2,1,17.036036,1
bsh,15520460,2,1,1,3,17.036036,1
bsh,15520480,1,1,1,2,17.036036,1
bsh,15520490,1,1,1,2,17.036036,1
bsh,15520490,2,1,1,1,17.036036,1
bsh,15520530,1,1,1,2,17.036036,1
bsh,15520600,1,1,1,1,17.036036,1
bsh,15520620,1,1,1,1,17.036036,1
bsh,15520620,2,1,1,1,17.036036,1
bsh,15520650,1,2,2,2,17.036036,1
bsh,15520650,2,1,1,1,17.036036,1
bsh,15520650,3,1,1,1,17.036036,1
bsh,15520660,1,1,1,1,17.036036,1
bsh,15520680,1,1,1,1,17.036036,1
bsh,15520730,1,1,1,2,17.036036,1
bsh,15520730,2,1,1,1,17.036036,1
bsh,15520740,1,2,2,2,17.036036,1
bsh,15520740,2,1,1,1,17.036036,1
bsh,15520750,1,1,1,1,17.036036,1
bsh,15520810,1,2,2,2,17.036036,1
bsh,15520810,2,1,1,1,17.036036,1
bsh,1820010,1,2,2,1,14.150442,1
bsh,1820010,2,1,1,1,14.150442,1
bsh,1820030,1,1,1,1,14.150442,1
bsh,1820030,2,1,1,1,14.150442,1
bsh,1820040,1,2,2,1,14.150442,1
bsh,1820040,2,1,1,1,14.150442,1
bsh,1820060,1,1,1,1,14.150442,1
bsh,1820060,2,2,2,1,14.150442,1
bsh,1820080,1,1,1,1,14.150442,1
bsh,1820080,2,1,1,1,14.150442,1
bsh,1820080,3,1,1,1,14.150442,1
bsh,1820100,1,2,2,1,14.150442,1
bsh,1820100,2,1,1,1,14.150442,1
bsh,1820120,1,2,2,1,14.150442,1
bsh,1820120,2,1,1,1,14.150442,1
bsh,1820150,1,1,1,1,14.150442,1
bsh,1820150,2,1,1,1,14.150442,1
bsh,1820180,1,1,1,1,14.150442,1
bsh,1820180,2,1,1,1,14.150442,1
bsh,1820220,1,1,1,1,14.150442,1
bsh,1820250,1,1,1,1,14.150442,1
bsh,1820250,2,1,1,1,14.150442,1
bsh,1820280,1,1,1,1,14.150442,1
bsh,1820280,2,1,1,1,14.150442,1
bsh,1820300,1,1,1,1,14.150442,1
bsh,1820330,1,1,1,1,14.150442,1
bsh,1820340,1,1,1,2,14.150442,1
bsh,1820340,2,1,1,1,14.150442,1
bsh,1820370,1,1,1,1,14.150442,1
bsh,1820370,2,1,1,1,14.150442,1
bsh,1820400,1,1,1,1,14.150442,1
bsh,1820410,1,1,1,1,14.150442,1
bsh,1820410,2,1,1,1,14.150442,1
bsh,1820410,3,1,1,1,14.150442,1
bsh,1820410,4,1,1,1,14.150442,1
bsh,1820410,5,9,9,9,14.150442,1
bsh,1820420,1,1,1,2,14.150442,1
bsh,1820420,2,1,1,2,14.150442,1
bsh,1820420,3,1,1,2,14.150442,1
bsh,1820500,1,2,2,1,14.150442,1
bsh,1820530,1,2,2,2,14.150442,1
