survey1,survey_num,hhid,sector,hhsize,HHChild8,hhveh,hhmicroveh,days,day1,day2,wf1,hhSemel,Yshuvtype,Mahoz,Gizra,hhtaz,Mosad,HHType,HHMembers,year,version
bsh,1,5047750,1,4,1,0,,1,04/06/2015,,57.290001,7100,1,6,961,2502,,23,|3|4|4|4|,2015,1
bsh,1,5047790,1,2,0,0,,1,07/06/2015,,57.290001,7100,1,6,961,2502,,21,|2|2|,2015,1
bsh,1,5047810,1,1,0,0,,1,07/06/2015,,57.290001,7100,1,6,961,2502,,10,|1|,2015,1
bsh,1,5047910,1,1,0,0,,1,08/06/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5047950,1,3,0,0,,1,10/06/2015,,72.900002,7100,1,6,961,2503,,23,|3|4|4|,2015,1
bsh,1,5048020,1,2,0,0,,1,11/06/2015,,72.900002,7100,1,6,961,2503,,21,|2|2|,2015,1
bsh,1,5048150,1,3,1,1,,1,10/06/2015,,51.919998,7100,1,6,961,2503,,22,|3|3|4|,2015,1
bsh,1,5048200,1,2,0,1,,1,09/06/2015,,16.84,7100,1,6,961,2503,,21,|2|2|,2015,1
bsh,1,5048240,1,2,0,1,,1,15/06/2015,,16.84,7100,1,6,961,2503,,32,|7|7|,2015,1
bsh,1,5056700,1,3,1,0,,1,15/06/2015,,34.330002,7100,1,6,961,2503,,23,|4|3|4|,2015,1
bsh,1,5056760,1,2,0,1,,1,15/06/2015,,68.589996,7100,1,6,961,2501,,21,|2|2|,2015,1
bsh,1,5056810,1,2,0,0,,1,15/06/2015,,68.589996,7100,1,6,961,2501,,21,|2|2|,2015,1
bsh,2,5210040,1,5,0,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|,2019,1
bsh,2,5210070,1,1,0,1,,2,24/06/2019,25/06/2019,11.602273,52,3,1,911,1435,,10,|1|,2019,1
bsh,2,5210140,1,3,0,2,,2,24/06/2019,25/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|,2019,1
bsh,2,5210180,1,5,3,1,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|,2019,1
bsh,2,5210200,1,6,4,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|4|,2019,1
bsh,2,5210210,1,2,0,1,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,21,|2|2|,2019,1
bsh,2,5210230,1,6,2,2,,2,24/06/2019,25/06/2019,11.602273,52,3,1,911,1435,,22,|3|4|4|3|4|4|,2019,1
bsh,2,5210240,1,6,4,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|4|,2019,1
bsh,2,5210250,1,5,0,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|,2019,1
bsh,2,5210270,1,1,0,1,,2,20/06/2019,23/06/2019,11.602273,52,3,1,911,1435,,10,|1|,2019,1
bsh,2,5210300,1,4,2,2,,2,24/06/2019,25/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|,2019,1
bsh,2,5210320,1,3,0,2,,2,20/06/2019,23/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|,2019,1
bsh,2,5210360,1,5,1,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|,2019,1
bsh,2,5210370,1,6,4,2,,2,24/06/2019,25/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|4|4|,2019,1
bsh,2,5210380,1,4,0,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,22,|3|3|4|4|,2019,1
bsh,2,5210390,1,2,0,2,,2,25/06/2019,26/06/2019,11.602273,52,3,1,911,1435,,21,|2|2|,2019,1
bsh,2,5210460,1,1,0,1,,2,24/06/2019,25/06/2019,11.602273,52,3,1,911,1435,,10,|1|,2019,1
bsh,2,5210540,1,2,0,1,,2,20/06/2019,23/06/2019,11.602273,52,3,1,911,1435,,21,|2|2|,2019,1
